metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
rapdev.influxdb.boltdb.reads.count,count,15,read,,Total number of boltdb reads,1,rapdev_influxdb,,
rapdev.influxdb.boltdb.writes.count,count,15,write,,Total number of boltdb writes,1,rapdev_influxdb,,
rapdev.influxdb.go_gc_duration_seconds.count,count,15,,,A summary of the pause duration of garbage collection cycles,1,rapdev_influxdb,,
rapdev.influxdb.go_gc_duration_seconds.quantile,gauge,15,second,,A summary of the pause duration of garbage collection cycles,1,rapdev_influxdb,,
rapdev.influxdb.go_gc_duration_seconds.sum,count,15,,,A summary of the pause duration of garbage collection cycles,1,rapdev_influxdb,,
rapdev.influxdb.go_goroutines,gauge,15,,,Number of goroutines that currently exist,1,rapdev_influxdb,,
rapdev.influxdb.go_info,gauge,15,,,Information about the Go environment,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_alloc_bytes,gauge,15,byte,,Number of bytes allocated and still in use,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_buck_hash_sys_bytes,gauge,15,byte,,Number of bytes used by the profiling bucket hash table,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_gc_cpu_fraction,gauge,15,fraction,,The fraction of this program's available CPU time used by the GC since the program started,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_gc_sys_bytes,gauge,15,byte,,Number of bytes used for garbage collection system metadata,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_heap_alloc_bytes,gauge,15,byte,,Number of heap bytes allocated and still in use,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_heap_idle_bytes,gauge,15,byte,,Number of heap bytes waiting to be used,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_heap_inuse_bytes,gauge,15,byte,,Number of heap bytes that are in use,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_heap_objects,gauge,15,object,,Number of allocated objects,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_heap_released_bytes,gauge,15,byte,,Number of heap bytes released to OS,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_heap_sys_bytes,gauge,15,byte,,Number of heap bytes obtained from system,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_last_gc_time_seconds,gauge,15,second,,Number of seconds since 1970 of last garbage collection,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_mcache_inuse_bytes,gauge,15,byte,,Number of bytes in use by mcache structures,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_mcache_sys_bytes,gauge,15,byte,,Number of bytes used for mcache structures obtained from system,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_mspan_inuse_bytes,gauge,15,byte,,Number of bytes in use by mspan structures,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_mspan_sys_bytes,gauge,15,byte,,Number of bytes used for mspan structures obtained from system,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_next_gc_bytes,gauge,15,byte,,Number of heap bytes when next garbage collection will take place,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_other_sys_bytes,gauge,15,byte,,Number of bytes used for other system allocations,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_stack_inuse_bytes,gauge,15,byte,,Number of bytes in use by the stack allocator,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_stack_sys_bytes,gauge,15,byte,,Number of bytes obtained from system for stack allocator,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_sys_bytes,gauge,15,byte,,Number of bytes obtained from system,1,rapdev_influxdb,,
rapdev.influxdb.go_threads,gauge,15,thread,,Number of OS threads created,1,rapdev_influxdb,,
rapdev.influxdb.go.memstats.frees.count,count,15,,,Total number of frees,1,rapdev_influxdb,,
rapdev.influxdb.go.memstats.lookups.count,count,15,,,Total number of pointer lookups,1,rapdev_influxdb,,
rapdev.influxdb.go.memstats.mallocs.count,count,15,,,Total number of mallocs,1,rapdev_influxdb,,
rapdev.influxdb.http_api_request_duration_seconds,gauge,15,second,,Time taken to respond to HTTP request,1,rapdev_influxdb,,
rapdev.influxdb.http_api_request_duration_seconds.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.http_api_request_duration_seconds.sum,count,15,second,,Total time taken to respond to HTTP requests,1,rapdev_influxdb,,
rapdev.influxdb.http_api.requests.count,count,15,request,,Number of http requests received,1,rapdev_influxdb,,
rapdev.influxdb.http_query_request_bytes.count,count,15,byte,,Count of bytes received,1,rapdev_influxdb,,
rapdev.influxdb.http_query_request_count.count,count,15,request,,Total number of query requests,1,rapdev_influxdb,,
rapdev.influxdb.http_query_response_bytes.count,count,15,byte,,Count of bytes returned,1,rapdev_influxdb,,
rapdev.influxdb.http_write_request_bytes.count,count,15,byte,,Count of bytes received,1,rapdev_influxdb,,
rapdev.influxdb.http_write_request_count.count,count,15,request,,Total number of query requests,1,rapdev_influxdb,,
rapdev.influxdb.http_write_response_bytes.count,count,15,byte,,Count of bytes returned,1,rapdev_influxdb,,
rapdev.influxdb.influxdb_uptime_seconds,gauge,15,second,,influxdb process uptime in seconds,1,rapdev_influxdb,,
rapdev.influxdb.influxdb.buckets,gauge,15,,,Number of total buckets on the server,1,rapdev_influxdb,,
rapdev.influxdb.influxdb.dashboards,gauge,15,,,Number of total dashboards on the server,1,rapdev_influxdb,,
rapdev.influxdb.influxdb.orgs,gauge,15,,,Number of total organizations on the server,1,rapdev_influxdb,,
rapdev.influxdb.influxdb.scrapers,gauge,15,,,Number of total scrapers on the server,1,rapdev_influxdb,,
rapdev.influxdb.influxdb.telegrafs,gauge,15,,,Number of total telegrafs on the server,1,rapdev_influxdb,,
rapdev.influxdb.influxdb.tokens,gauge,15,,,Number of total tokens on the server,1,rapdev_influxdb,,
rapdev.influxdb.influxdb.users,gauge,15,,,Number of total users on the server,1,rapdev_influxdb,,
rapdev.influxdb.influxql_service_executing_duration_seconds.count,count,15,,,Histogram of times spent executing queries,1,rapdev_influxdb,,
rapdev.influxdb.influxql_service_executing_duration_seconds.sum,count,15,second,,     ,1,rapdev_influxdb,,
rapdev.influxdb.influxql_service_requests.count,count,15,request,,Count of the query requests,1,rapdev_influxdb,,
rapdev.influxdb.qc_all_active,gauge,15,,,Number of queries in all states,1,rapdev_influxdb,,
rapdev.influxdb.qc_all_duration_seconds,gauge,15,second,,Histogram of total times spent in all query states,1,rapdev_influxdb,,
rapdev.influxdb.qc_all_duration_seconds.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.qc_all_duration_seconds.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.qc_compiling_active,gauge,15,,,Number of queries actively compiling,1,rapdev_influxdb,,
rapdev.influxdb.qc_compiling_duration_seconds,gauge,15,second,,Histogram of times spent compiling queries,1,rapdev_influxdb,,
rapdev.influxdb.qc_compiling_duration_seconds.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.qc_compiling_duration_seconds.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.qc_executing_active,gauge,15,,,Number of queries actively executing,1,rapdev_influxdb,,
rapdev.influxdb.qc_executing_duration_seconds,gauge,15,second,,Histogram of times spent executing queries,1,rapdev_influxdb,,
rapdev.influxdb.qc_executing_duration_seconds.count,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.qc_executing_duration_seconds.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.qc_memory_unused_bytes,gauge,15,byte,,The free memory as seen by the internal memory manager,1,rapdev_influxdb,,
rapdev.influxdb.qc_queueing_active,gauge,15,,,Number of queries actively queueing,1,rapdev_influxdb,,
rapdev.influxdb.qc_queueing_duration_seconds,gauge,15,second,,Histogram of times spent queueing queries,1,rapdev_influxdb,,
rapdev.influxdb.qc_queueing_duration_seconds.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.qc_queueing_duration_seconds.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.qc.requests.count,count,15,request,,Count of the query requests,1,rapdev_influxdb,,
rapdev.influxdb.query_control_all_active,gauge,15,,,Number of queries in all states,1,rapdev_influxdb,,
rapdev.influxdb.query_control_all_duration_seconds.count,count,15,,,Histogram of total times spent in all query states,1,rapdev_influxdb,,
rapdev.influxdb.query_control_all_duration_seconds.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.query_control_compiling_active,gauge,15,,,Number of queries actively compiling,1,rapdev_influxdb,,
rapdev.influxdb.query_control_compiling_duration_seconds.count,count,15,,,Histogram of times spent compiling queries,1,rapdev_influxdb,,
rapdev.influxdb.query_control_compiling_duration_seconds.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.query_control_executing_active,gauge,15,,,Number of queries actively executing,1,rapdev_influxdb,,
rapdev.influxdb.query_control_executing_duration_seconds.count,count,15,,,Histogram of times spent executing queries,1,rapdev_influxdb,,
rapdev.influxdb.query_control_executing_duration_seconds.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.query_control_memory_unused_bytes,gauge,15,byte,,The free memory as seen by the internal memory manager,1,rapdev_influxdb,,
rapdev.influxdb.query_control_queueing_active,gauge,15,,,Number of queries actively queueing,1,rapdev_influxdb,,
rapdev.influxdb.query_control_queueing_duration_seconds.count,count,15,,,Histogram of times spent queueing queries,1,rapdev_influxdb,,
rapdev.influxdb.query_control_queueing_duration_seconds.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.query_control_requests.count,count,15,request,,Count of the query requests,1,rapdev_influxdb,,
rapdev.influxdb.query_influxdb_source_read_request_duration_seconds,gauge,15,second,,Histogram of times spent in read requests,1,rapdev_influxdb,,
rapdev.influxdb.query_influxdb_source_read_request_duration_seconds.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.query_influxdb_source_read_request_duration_seconds.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.serivce_password.new_call.count,count,15,,,Number of calls,1,rapdev_influxdb,,
rapdev.influxdb.serivce_token.call.count,count,15,,,Number of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_annotation_call.count,count,15,,,Number of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_annotation_duration,gauge,15,second,,Duration of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_annotation_duration.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.service_annotation_duration.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.service_bucket_new_duration,gauge,15,second,,Duration of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_bucket_new_duration.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.service_bucket_new_duration.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.service_bucket_new_error.count,count,15,error,,Number of errors encountered,1,rapdev_influxdb,,
rapdev.influxdb.service_bucket.new_call.count,count,15,,,Number of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_notebook_duration,gauge,15,second,,Duration of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_notebook_duration.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.service_notebook_duration.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.service_notebook.call.count,count,15,,,Number of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_onboard_new_duration,gauge,15,second,,Duration of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_onboard_new_duration.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.service_onboard_new_duration.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.service_org_duration,gauge,15,second,,Duration of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_org_duration.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.service_org_duration.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.service_org_new_duration,gauge,15,second,,Duration of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_org_new_duration.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.service_org_new_duration.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.service_org.call.count,count,15,,,Number of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_org.new_call.count,count,15,,,Number of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_password_new_duration,gauge,15,second,,Duration of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_password_new_duration.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.service_password_new_duration.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.service_password_new_error.count,count,15,error,,Number of errors encountered,1,rapdev_influxdb,,
rapdev.influxdb.service_pkger_duration,gauge,15,second,,Duration of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_pkger_duration.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.service_pkger_duration.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.service_pkger_template_export.count,count,15,,,Metrics for resources being exported,1,rapdev_influxdb,,
rapdev.influxdb.service_pkger.call.count,count,15,,,Number of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_secret_duration,gauge,15,second,,Duration of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_secret_duration.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.service_secret_duration.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.service_secret.call.count,count,15,,,Number of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_session_duration,gauge,15,second,,Duration of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_session_duration.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.service_session_duration.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.service_session_error.count,count,15,error,,Number of errors encountered,1,rapdev_influxdb,,
rapdev.influxdb.service_session.call.count,count,15,,,Number of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_token_duration,gauge,15,second,,Duration of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_token_duration.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.service_token_duration.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.service_urm_new_duration,gauge,15,second,,Duration of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_urm_new_duration.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.service_urm_new_duration.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.service_urm.new_call.count,count,15,,,Number of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_user_new_duration,gauge,15,second,,Duration of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_user_new_duration.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.service_user_new_duration.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.service_user_new_error.count,count,15,error,,Number of errors encountered,1,rapdev_influxdb,,
rapdev.influxdb.service_user.new_call.count,count,15,,,Number of calls,1,rapdev_influxdb,,
rapdev.influxdb.storage_bucket_measurement_num,gauge,15,,,Gauge of measurement cardinality per bucket,1,rapdev_influxdb,,
rapdev.influxdb.storage_bucket_series_num,gauge,15,,,Gauge of series cardinality per bucket,1,rapdev_influxdb,,
rapdev.influxdb.storage_cache_disk_bytes,gauge,15,byte,,Gauge of size of most recent snapshot,1,rapdev_influxdb,,
rapdev.influxdb.storage_cache_inuse_bytes,gauge,15,byte,,Gauge of current memory consumption of cache,1,rapdev_influxdb,,
rapdev.influxdb.storage_cache_writes_dropped.count,count,15,,,Counter of writes to cache with some dropped points,1,rapdev_influxdb,,
rapdev.influxdb.storage_cache_writes_err.count,count,15,error,,Counter of failed writes to cache,1,rapdev_influxdb,,
rapdev.influxdb.storage_cache.writes.count,count,15,write,,Counter of all writes to cache,1,rapdev_influxdb,,
rapdev.influxdb.storage_compactions_active,gauge,15,,,Gauge of compactions (by level) currently running,1,rapdev_influxdb,,
rapdev.influxdb.storage_compactions_duration_seconds,gauge,15,second,,Histogram of compactions by level since startup,1,rapdev_influxdb,,
rapdev.influxdb.storage_compactions_duration_seconds.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.storage_compactions_duration_seconds.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.storage_compactions_failed.count,count,15,error,,Counter of TSM compactions (by level) that have failed due to error,1,rapdev_influxdb,,
rapdev.influxdb.storage_compactions_queued,gauge,15,,,Counter of TSM compactions (by level) that are currently queued,1,rapdev_influxdb,,
rapdev.influxdb.storage_retention_check_duration,gauge,15,second,,Histogram of duration of retention check (in seconds),1,rapdev_influxdb,,
rapdev.influxdb.storage_retention_check_duration.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.storage_retention_check_duration.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.storage_shard_disk_size,gauge,15,,,Gauge of the disk size for the shard,1,rapdev_influxdb,,
rapdev.influxdb.storage_shard_fields_created.count,count,15,,,Counter of the number of fields created,1,rapdev_influxdb,,
rapdev.influxdb.storage_shard_series,gauge,15,,,Gauge of the number of series in the shard index,1,rapdev_influxdb,,
rapdev.influxdb.storage_shard_write_count.count,count,15,write,,Count of the number of write requests,1,rapdev_influxdb,,
rapdev.influxdb.storage_shard_write_dropped_sum.count,count,15,,,Counter of the number of points droppped,1,rapdev_influxdb,,
rapdev.influxdb.storage_shard_write_err_count.count,count,15,error,,Count of the number of write requests with errors,1,rapdev_influxdb,,
rapdev.influxdb.storage_shard_write_err_sum.count,count,15,error,,Counter of the number of points for write requests with errors,1,rapdev_influxdb,,
rapdev.influxdb.storage_writer_ok_points,gauge,15,,,Histogram of number of points in successful shard write requests,1,rapdev_influxdb,,
rapdev.influxdb.storage_writer_req_points,gauge,15,,,Histogram of number of points requested to be written,1,rapdev_influxdb,,
rapdev.influxdb.task_executor_promise_queue_usage,gauge,15,,,Percent of the promise queue that is currently full,1,rapdev_influxdb,,
rapdev.influxdb.task_executor_total_runs_active,gauge,15,,,Total number of workers currently running tasks,1,rapdev_influxdb,,
rapdev.influxdb.task_executor_workers_busy,gauge,15,,,Percent of total available workers that are currently busy,1,rapdev_influxdb,,
rapdev.influxdb.task_scheduler_current_execution,gauge,15,second,,Number of tasks currently being executed,1,rapdev_influxdb,,
rapdev.influxdb.task_scheduler_execute_delta.count,count,15,,,The duration in seconds between a run starting and finishing,1,rapdev_influxdb,,
rapdev.influxdb.task_scheduler_execute_delta.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.task_scheduler_schedule_delay.count,count,15,,,The duration between when a Item should be scheduled and when it is told to execute,1,rapdev_influxdb,,
rapdev.influxdb.task_scheduler_schedule_delay.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.task_scheduler_total_execute_failure.count,count,15,error,,Total number of times an execution has failed,1,rapdev_influxdb,,
rapdev.influxdb.task_scheduler_total_execution_calls.count,count,15,,,Total number of executions across all tasks,1,rapdev_influxdb,,
rapdev.influxdb.task_scheduler_total_release_calls.count,count,15,,,Total number of release requests,1,rapdev_influxdb,,
rapdev.influxdb.task_scheduler_total_schedule_calls.count,count,15,,,Total number of schedule requests,1,rapdev_influxdb,,
rapdev.influxdb.task_scheduler_total_schedule_fails.count,count,15,,,Total number of schedule requests that fail to schedule,1,rapdev_influxdb,,
